iptv.org stream China CCTV,#genre#
CCTV+ 1 (600p),https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8
CCTV+ 2 (600p),https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL2.smil/playlist.m3u8
CCTV-1综合 (1080p),http://183.196.25.171:808/hls/1/index.m3u8
CCTV-2财经 (1080p),http://183.196.25.171:808/hls/2/index.m3u8
CCTV-3综艺 (1080p),http://183.196.25.171:808/hls/75/index.m3u8
CCTV-4 America (1080p),https://global.cgtn.cicc.media.caton.cloud/master/cgtn-america.m3u8
CCTV-4 Asia (480p),http://210.210.155.37/qwr9ew/s/s19/index.m3u8
CCTV-4K超高清,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV-5+体育赛事 (1080p),https://live.goodiptv.club/api/cqyx.php?id=cctv5SportHD
CCTV-5体育 (1080p),http://1.85.0.62:808/hls/503/index.m3u8
CCTV-6电影 (1080p),http://1.85.0.62:808/hls/6/index.m3u8
CCTV-7国防军事 (1080p),http://183.196.25.171:808/hls/7/index.m3u8
CCTV-8电视剧 (1080p),http://183.196.25.171:808/hls/77/index.m3u8
CCTV-9纪录 (1080p),http://183.196.25.171:808/hls/9/index.m3u8
CCTV-10科教 (1080p),http://183.196.25.171:808/hls/10/index.m3u8
CCTV-11戏曲 (1080p),http://183.196.25.171:808/hls/11/index.m3u8
CCTV-12社会与法制 (1080p),http://183.196.25.171:808/hls/12/index.m3u8
CCTV-13新闻 (1080p),http://183.196.25.171:808/hls/13/index.m3u8
CCTV-14少儿 (1080p),http://183.196.25.171:808/hls/14/index.m3u8
CCTV-15音乐 (1080p),http://183.196.25.171:808/hls/15/index.m3u8
CCTV-16奥林匹克,https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K
CCTV-17农业农村 (1080p),http://183.196.25.171:808/hls/93/index.m3u8
